"id","Season","GP","Mins","G","A","Shots","SOG","FC","OFF","Y","R"
-90958,"2018/2019",10,586,0,1,5,3,3,0,0,0
-90957,"2018/2019",7,268,1,1,8,5,4,3,0,0
-90924,"2018/2019",7,354,0,0,3,0,5,0,0,0
-90916,"2018/2019",6,135,0,1,0,0,3,0,0,0
-90915,"2018/2019",5,156,0,0,1,0,2,1,0,0
-90914,"2018/2019",4,141,0,0,3,1,3,0,0,0
-90909,"2018/2019",7,352,0,0,4,1,11,0,3,0
-90904,"2018/2019",7,182,1,0,4,2,9,0,2,0
-90892,"2018/2019",1,36,0,0,0,0,0,1,0,0
-90859,"2018/2019",21,1376,1,0,13,4,24,0,5,0
-90764,"2018/2019",6,89,0,0,0,0,1,1,0,0
-90760,"2018/2019",2,41,0,0,0,0,0,2,0,0
-90714,"2018/2019",1,4,0,0,0,0,0,0,0,0
-90620,"2018/2019",2,42,0,0,0,0,0,1,0,0
-90618,"2018/2019",10,840,2,0,7,3,7,4,1,0
-90615,"2018/2019",4,127,1,0,2,1,4,0,0,0
-90614,"2018/2019",15,568,3,0,12,7,8,1,1,0
-90611,"2018/2019",7,293,0,0,1,0,7,0,0,0
-90609,"2018/2019",1,8,0,0,0,0,0,0,0,0
-90606,"2018/2019",7,172,0,0,4,1,2,0,0,0
-90598,"2018/2019",5,95,0,0,1,1,4,1,0,0
-90596,"2018/2019",10,488,0,0,4,3,7,1,0,0
-90593,"2018/2019",10,725,0,0,3,2,12,0,1,0
-90592,"2018/2019",8,166,0,0,0,0,0,0,0,0
-90591,"2018/2019",9,235,0,0,0,0,0,0,0,0
-90589,"2018/2019",9,459,0,0,5,1,14,3,1,0
-90587,"2018/2019",8,641,0,0,11,5,15,2,0,1
-90586,"2018/2019",10,635,0,1,7,2,8,0,2,0
-90584,"2018/2019",9,400,0,0,1,1,4,0,1,0
-90581,"2018/2019",9,673,0,0,7,2,8,1,0,0
-90579,"2018/2019",10,921,0,0,1,0,12,0,1,0
-90578,"2018/2019",10,807,0,0,0,0,5,0,0,0
-90577,"2018/2019",10,937,0,0,2,0,8,0,0,0
-90576,"2018/2019",10,925,1,0,6,2,7,0,0,0
-90569,"2018/2019",11,1044,0,0,5,3,9,0,2,0
-90564,"2018/2019",14,691,0,0,4,1,13,0,2,0
-90559,"2018/2019",8,281,1,0,8,5,3,3,0,0
-90558,"2018/2019",2,166,0,0,0,0,1,0,0,0
-90557,"2018/2019",3,200,0,0,1,0,1,0,0,0
-90556,"2018/2019",13,550,0,2,5,0,19,0,1,0
-90552,"2018/2019",17,1373,0,1,9,4,15,0,1,0
-90546,"2018/2019",16,972,1,0,11,1,23,2,2,0
-90544,"2018/2019",11,464,0,0,2,2,12,0,0,0
-90543,"2018/2019",3,26,0,0,0,0,0,0,0,0
-90542,"2018/2019",7,89,0,0,3,0,1,0,0,0
-90541,"2018/2019",5,478,0,0,0,0,0,0,0,0
-90540,"2018/2019",14,625,0,0,16,9,12,7,0,0
-90538,"2018/2019",12,843,0,0,5,2,8,0,0,0
-90537,"2018/2019",1,14,0,0,0,0,0,0,0,0
-90536,"2018/2019",16,1445,1,1,2,1,12,2,1,0
-90534,"2018/2019",9,408,1,1,6,2,2,1,0,0
-90533,"2018/2019",9,719,0,0,2,0,13,1,2,0
-90532,"2018/2019",1,24,0,0,0,0,0,0,0,0
-90531,"2018/2019",15,1089,0,0,10,8,13,3,1,1
-90530,"2018/2019",12,1065,0,0,7,2,11,1,2,0
-90528,"2018/2019",8,439,0,1,5,0,1,0,0,0
-90526,"2018/2019",5,179,0,1,1,0,2,0,0,0
-90520,"2018/2019",16,1040,6,2,27,13,15,5,0,0
-90519,"2018/2019",1,85,0,0,0,0,1,0,0,0
-90518,"2018/2019",11,667,3,0,14,11,16,4,2,0
-90517,"2018/2019",1,5,0,0,0,0,0,0,0,0
