"player_id","position_cluster","minutes"
-89630,"Left-Sided Midfielder/Fullback",371
-89623,"Central Defender",1143
-89623,"Central Midfielder",15
-89623,"Right-Sided Attacker",66
-89621,"Left-Sided Attacker",80
-89619,"Right-Sided Attacker",46
-89619,"Right-Sided Midfielder/Fullback",828
-89584,"Central Forward",131
-89584,"Left-Sided Attacker",47
-89584,"Right-Sided Attacker",129
-89583,"Central Defender",684
-89556,"Central Forward",108
-89556,"Central Midfielder",60
-89555,"Left-Sided Attacker",56
-89554,"Central Midfielder",108
-89553,"Central Forward",205
-89550,"Left-Sided Attacker",227
-89548,"Central Midfielder",138
-89547,"Left-Sided Attacker",88
-89543,"Right-Sided Midfielder/Fullback",539
-89542,"Central Midfielder",389
-89542,"Right-Sided Attacker",841
-89523,"Central Defender",994
-89523,"Central Midfielder",53
-89523,"Left-Sided Attacker",183
-89523,"Right-Sided Attacker",148
-89522,"Central Defender",24
-89522,"Central Midfielder",2322
-89522,"Left-Sided Midfielder/Fullback",94
-89522,"Right-Sided Midfielder/Fullback",17
-89428,"Central Defender",28
-89415,"Central Midfielder",135
-89414,"Left-Sided Attacker",243
-89413,"Central Defender",86
-89413,"Right-Sided Attacker",104
