"id","positions"
"395675","RW"
"395675","CF"
"395675","LW"
"186439","RCB"
"198987","CF"
"363437","LW"
"363437","RW"
"318327","GK"
"279078","RCMF3"
"279078","LCMF3"
"279078","RCMF"
"314063","GK"
"454710","LCB"
"454710","DMF"
"257329","CF"
"505967","LB"
"420349","DMF"
"420349","RCMF"
"459983","LCB"
"459983","RCB"
"418609","LDMF"
"418609","LCMF"
"318330","LCMF"
"318330","RCMF"
"440101","LWF"
"440101","RW"
"318336","RCMF"
"318336","AMF"
"318336","RCMF3"
"335237","LB"
"505982","LCMF3"
"505982","LDMF"
"505982","LCMF"
"374851","CF"
"451197","LW"
"451197","LWF"
"473006","RB"
"394664","RCMF3"
"394664","LCMF3"
"394664","RCMF"
"452382","LW"
"452382","RW"
"452382","CF"
"426114","RCMF3"
"426114","LAMF"
"426114","LCMF3"
"421580","RDMF"
"421580","DMF"
"421580","RCMF"
"44874","CF"
"309248","RB"
"-89547","LWF"
"447576","LCB"
"73063","LDMF"
"73063","LW"
"59292","RW"
"59292","RCMF3"
"59292","RWF"
"250566","RCB"
"250566","CB"
"284302","GK"
"16592","RCMF"
"16592","DMF"
"16592","LCMF"
"161785","RCB"
"421030","LW"
"421030","LCB3"
"421030","RW"
"434275","DMF"
"434275","RCB3"
"434275","RB"
"171415","LCB"
"317328","RAMF"
"317328","RW"
"317328","LW"
"16570","GK"
"494043","LW"
"494043","RWF"
"494043","RB5"
"431262","DMF"
"431262","LCB"
"431262","RCMF"
"459956","RCMF"
"459956","RCMF3"
"459956","AMF"
"395355","CF"
"309299","RCMF3"
"309299","RDMF"
"309299","RCMF"
"16642","LB"
"56714","LCMF"
"56714","LCMF3"
"56714","LW"
"208544","CF"
"208544","RW"
"208544","LW"
"330647","LW"
"470550","CF"
"159053","GK"
"247022","LW"
"497901","LCMF"
"376277","AMF"
"376277","LWF"
"376277","RW"
"434539","RCMF3"
"434539","RDMF"
"434539","RCMF"
"74337","CF"
"442641","LDMF"
"442641","RDMF"
"164550","CF"
"262212","RW"
"262212","LAMF"
"262212","LW"
"68827","LCB"
"68827","RCB"
"288092","RAMF"
"288092","LAMF"
"288092","RW"
"490340","LCB"
"490340","LCB3"
"392210","GK"
"378689","CF"
"207251","RB"
"207251","LB"
"70389","RB"
"70389","RCB3"
"380767","LCB"
"380767","CB"
"291876","RCB"
"331438","GK"
"391007","LB"
"-103643","LCMF"
"-103643","LAMF"
"-103643","LW"
"330112","RAMF"
"330112","LAMF"
"330112","RW"
"190668","RCMF"
"190668","LCMF"
"66151","RCMF"
"66151","LCMF"
"66151","RDMF"
"97659","GK"
"414066","CF"
"234380","CF"
"234380","AMF"
"436590","LW"
"436590","LCMF"
"436590","LAMF"
"255702","RB"
"255702","GK"
"309885","RB"
"166011","LCB3"
"166011","RCB3"
"415613","RCB"
"205234","LB"
"263848","RCB"
"308196","AMF"
"196089","RCMF"
"196089","RCMF3"
"169354","RW"
"237111","AMF"
"237111","LCMF"
"237111","LW"
"434154","CF"
"434154","LW"
"434154","RDMF"
"161804","RCMF"
"161804","LCMF"
"161804","LCMF3"
"79144","LCB"
"56704","GK"
"176764","CF"
"351777","GK"
"-34055","LCMF"
"-34055","RCMF"
"461364","RCB"
"315725","LB"
"56771","GK"
"265131","LCB"
"265131","DMF"
"265131","CB"
"370285","CF"
"370285","RW"
"370285","LAMF"
"112245","RW"
"112245","LW"
"112245","RWF"
"18868","GK"
"421180","RCMF"
"421180","DMF"
"421180","LDMF"
"288407","LCMF"
"288407","RCMF"
"288407","RDMF"
"266331","RB"
"440068","CF"
"56887","LB"
"309674","RCB"
"309674","LCB"
"329654","AMF"
"329654","CF"
"329654","RCMF3"
"468146","RCB"
"468146","LCB"
"212932","DMF"
"212932","RCMF"
"212932","LCMF"
"366493","DMF"
"366493","RCMF"
"134629","CF"
"134629","LW"
"134629","RW"
"351581","LB"
"438764","RCMF"
"438764","RCMF3"
"71342","LCB"
"71342","RCB"
"296791","RW"
"296791","RWF"
"380827","RB"
"178809","GK"
"198846","LCMF"
"198846","LCMF3"
"89937","CF"
"208343","RB"
"157583","LCB"
"157583","LCB3"
"157583","RCB"
"226751","AMF"
"226751","LCMF"
"199319","LB"
"266178","LDMF"
"266178","RDMF"
"266178","RCMF"
"461202","GK"
"206997","LAMF"
"206997","AMF"
"206997","CF"
"302921","LAMF"
"302921","CF"
"302921","LW"
"257315","RB"
"257315","RB5"
"208010","GK"
"390657","CF"
"277587","RCB"
"66043","CF"
"-42067","DMF"
"-42067","RW"
"304207","LB"
"286506","RB"
"229504","RB"
"229504","LAMF"
"20647","DMF"
"429722","CF"
"429722","LW"
"339309","LW"
"339309","RW"
"207684","DMF"
"207684","RCMF"
"207684","LCMF3"
"467450","DMF"
"467450","RDMF"
"467450","RCMF"
"174799","LCMF"
"174799","LCMF3"
"283193","LW"
"283193","RW"
"283193","RWF"
"76070","RCMF"
"76070","LCMF"
"76070","LDMF"
"356229","LCB"
"165874","CF"
"373755","CF"
"112938","LW"
"112938","LAMF"
"112938","RW"
"9196","LB"
"140284","GK"
"199134","RCMF"
"199134","AMF"
"199134","RCMF3"
"397791","RW"
"397791","RAMF"
"330729","RB"
"111510","RCB"
"-67093","LW"
"308438","RB"
"308438","LW"
"309263","LCB"
"309263","RCB"
"257636","RB"
"155789","GK"
"89747","RB"
"134775","LW"
"134775","CF"
"352761","AMF"
"352761","LWF"
"352761","LW"
"-72053","LDMF"
"-72053","LCMF"
"-72053","RDMF"
"161773","GK"
"400231","LAMF"
"400231","LW"
"400231","RAMF"
"257117","LB"
"257642","CF"
"257642","AMF"
"284776","LAMF"
"284776","LW"
"284776","CF"
"166010","RCB"
"89791","RDMF"
"89791","LDMF"
"89791","LCMF"
"56868","LCB"
"144325","RCMF"
"144325","RDMF"
"144325","LDMF"
"86682","RW"
"86682","RAMF"
"263605","AMF"
"263605","LCMF"
"263605","LW"
"391329","RW"
"289439","LDMF"
"289439","RDMF"
"459970","RCB"
"62141","AMF"
"62141","LCMF"
"421583","LCMF3"
"421583","AMF"
"421583","RCMF3"
"372947","RB"
"374849","CF"
"421584","DMF"
"460432","LCB"
"460432","RCB"
"270478","LCMF"
"270478","RCMF3"
"433195","LAMF"
"433195","LW"
"290255","LB"
"290255","RB"
"452422","GK"
"506359","RWF"
"506359","RW"
"506359","CF"
"418611","CF"
"418611","LCB"
"334526","LCMF3"
"334526","LCMF"
"334526","LWF"
"372949","RCB"
"372949","LCB"
"377255","GK"
"362691","RW"
"362691","CF"
"362691","RWF"
"377309","DMF"
"377309","RCB"
"290176","LW"
"290176","LWF"
"460583","AMF"
"460583","CF"
"460583","RW"
"419698","RCB"
"495034","RCMF3"
"495034","RCMF"
"495034","LCMF"
"377319","CF"
"377319","LWF"
"377319","LW"
"378055","AMF"
"378055","RCMF3"
"378055","LCMF3"
"460180","LB"
"314282","GK"
"446473","AMF"
"290256","RB"
"472497","RW"
"472497","RWF"
"420345","LCB"
"448433","CF"
"500177","LB"
"500177","LW"
"500177","LAMF"
"456078","RDMF"
"456078","LCMF"
"456078","LDMF"
"377271","RB"
"377271","RWB"
"437390","CF"
"437390","RAMF"
"437390","RW"
"413520","RW"
"413520","LW"
"413520","LAMF"
"495293","LAMF"
"495293","RW"
"495293","RAMF"
"429063","CF"
"429063","RAMF"
"429063","LW"
"452419","RCMF"
"517849","CF"
"329233","LB"
"329233","LWB"
"390685","GK"
"-49445","LCB"
"-49445","LCB3"
"290187","RCB"
"290187","CB"
"373875","AMF"
"373875","RCMF"
"373875","LCMF3"
"-91367","LAMF"
"-91367","AMF"
"-91367","LW"
"288698","LB"
"112919","RDMF"
"506097","LAMF"
"506097","LW"
"491605","CF"
"491605","RW"
"491605","LW"
"394836","LCB"
"-50132","LW"
"169404","RB"
"277816","LW"
"277816","LAMF"
"377317","RW"
"31441","RCB"
"31441","RCB3"
"375523","CF"
"255856","AMF"
"255856","RCMF3"
"255856","LCMF"
"204846","LCB"
"204846","RDMF"
"204846","CB"
"-50128","LCMF"
"-50128","LDMF"
"-50128","RCMF"
"56655","RCB"
"56655","LCB"
"56655","RCB3"
"393051","LB"
"393051","LCB3"
"257957","CF"
"289352","CF"
"16929","RB"
"16929","RWB"
"16929","RCMF"
"205711","GK"
"255808","RAMF"
"255808","LWB"
"255808","RW"
"351563","AMF"
"56911","DMF"
"56911","LW"
"491722","RW"
"491722","RAMF"
"416599","CF"
"303919","RCB"
"257104","AMF"
"257104","CF"
"198972","GK"
"283021","RCMF3"
"283021","RW"
"513200","LCMF"
"513200","RCMF"
"513200","LCMF3"
"339727","LB"
"339727","LCMF"
"17008","RW"
"17008","RWF"
"410688","RW"
"74081","CF"
"17020","GK"
"270097","RW"
"270097","AMF"
"270097","RWF"
"64541","LCMF"
"64541","DMF"
"64541","LCMF3"
"113439","LCB"
"401390","RW"
"401390","RWF"
"401390","RB"
"326660","CF"
"336601","RCB"
"336601","LCB"
"68393","DMF"
"32758","LB"
"56735","RCB"
"56735","LCB"
"176612","LB"
"205726","CF"
"397774","LCB"
"-89543","RB"
"474484","LW"
"474484","RW"
"474484","RAMF"
"56936","LCMF"
"363377","AMF"
"363377","CF"
"363377","LCMF"
"172916","CF"
"288901","CF"
"192031","RCMF"
"192031","RDMF"
"205715","LB"
"205715","RW"
"261028","LW"
"261028","CF"
"261028","RW"
"95831","LCMF"
"95831","AMF"
"314070","RCMF"
"314070","LCMF"
"314070","LDMF"
"206451","GK"
"16970","RB"
"16970","LB"
"147225","LCB"
"147225","RCB"
"471390","LWF"
"499356","LWB"
"490541","RW"
"490541","LW"
"491335","RCMF"
"491335","RCMF3"
"491335","CB"
"495498","RB"
"495498","LB"
"495498","RWB"
"460205","RW"
"460205","LW"
"377269","LB"
"377269","LB5"
"377269","LWB"
"114985","RW"
"114985","LW"
"114985","LAMF"
"452413","AMF"
"452413","CF"
"452413","RCMF"
"485837","LCB3"
"485837","LCB"
"412321","CF"
"412321","LW"
"412321","RW"
"371215","RCB"
"371215","CB"
"386557","CF"
"327006","DMF"
"327006","LCMF"
"327006","RCMF"
"452412","RCMF3"
"452412","CF"
"469639","GK"
"379049","LB"
"504808","LAMF"
"504808","RAMF"
