"acceleration_success","action_in_counterattack_success","aerial_duel_success","ball_delivery_to_danger_zone_success","ball_delivery_to_penalty_area_success","ball_entry_in_final_third_success","controlled_box_entry_success","controlled_penalty_area_entry_success","cross_to_penalty_area_success","cross_to_goalie_box_success","dangerous_opponent_half_recovery_success","dangerous_own_half_loss_success","defensive_duel_success","dribble_success","forward_pass_success","foul","free_kick_success","interception_success","key_pass_success","loose_ball_duel_success","opportunity_success","opportunity_creation_success","pass_to_zone_fourteen_success","pass_to_final_third_success","pass_to_penalty_area_success","progressive_pass_success","progressive_run_success","recovery_success","recovery_counterpressing_success","red_cards","smart_pass_success","shot_after_corner_success","shot_after_free_kick_success","shot_after_throw_in_success","shot_assist_success","shot_buildup_pass_success","shot_from_cross_success","shot_from_danger_zone_success","shot_from_outside_area_success","through_pass_success","throw_in_success","touch_in_box_success","touch_success","vertical_pass_success","yellow_cards","result"
7,0,19,0,17,0,0,5,3,2,7,0,11,19,101,14,1,10,2,17,6,3,12,33,12,65,8,81,37,0,2,1,0,1,11,0,1,2,2,0,9,10,0,122,1,"1"
2,0,23,0,15,2,0,0,4,1,7,0,13,9,124,11,1,27,4,18,5,2,13,55,15,83,2,90,41,0,1,2,1,0,8,0,0,4,1,2,21,6,1,140,2,"0"
5,0,17,0,8,1,0,2,1,1,3,1,19,15,92,17,1,32,4,13,7,4,3,22,6,49,7,82,37,1,1,0,0,1,10,0,0,2,3,2,17,6,0,50,6,"0"
3,0,24,0,16,0,0,1,6,1,3,0,10,9,84,18,2,14,2,15,6,5,8,36,15,52,2,71,40,0,3,0,1,0,7,0,0,3,2,3,28,6,0,75,4,"0"
13,0,24,0,19,2,0,3,5,2,4,0,14,26,87,8,1,14,5,17,9,8,13,35,16,52,9,103,43,0,8,0,0,2,13,0,1,3,5,6,18,11,0,59,2,"1"
2,0,15,0,8,1,0,2,3,0,3,0,18,17,68,12,4,10,2,10,4,4,9,21,6,33,2,71,32,1,1,0,2,0,9,0,0,2,0,2,6,5,0,123,2,"0"
6,0,13,0,12,4,0,1,6,0,5,0,23,27,87,15,3,23,2,12,1,4,25,46,11,71,9,85,35,0,3,0,0,0,9,0,1,1,0,3,13,2,0,81,1,"1"
5,0,23,0,8,3,0,0,5,0,2,0,16,15,97,17,2,18,0,8,3,1,12,35,8,56,5,85,45,0,1,0,0,0,6,0,0,1,0,1,19,6,0,147,3,"0"
2,0,16,0,5,1,0,0,0,0,2,0,15,12,76,16,4,12,1,16,4,2,9,31,5,38,0,78,30,0,1,1,0,0,5,0,1,4,0,0,10,5,0,85,3,"0"
4,0,27,0,10,2,0,1,4,1,1,0,9,22,105,16,0,22,5,17,7,4,9,42,9,67,4,82,42,0,1,2,0,0,9,0,3,7,0,2,24,12,0,144,3,"1"
4,0,20,0,19,4,0,2,3,2,11,1,16,12,147,15,0,16,3,10,7,7,29,59,18,78,5,101,57,0,4,1,0,0,9,0,1,4,2,5,12,13,0,196,1,"1"
6,0,18,0,7,0,0,0,3,0,4,1,14,5,76,10,2,21,1,10,4,3,8,22,7,43,5,72,33,1,1,1,2,1,9,0,1,2,1,3,12,5,0,67,2,"0"
2,0,20,0,8,1,0,2,3,2,4,0,17,16,65,10,1,22,2,9,3,4,5,22,6,41,4,78,40,0,0,1,0,0,6,0,1,2,1,2,25,6,0,87,3,"0"
1,0,15,0,12,2,0,2,3,0,7,1,14,23,123,18,0,13,5,14,6,5,23,36,10,71,3,85,36,0,4,0,0,0,9,0,0,4,2,4,19,10,0,139,4,"0"
3,0,46,0,11,1,0,0,4,1,6,0,18,18,63,19,2,13,4,21,4,6,20,28,11,47,1,128,92,0,1,0,0,1,9,0,0,0,4,6,27,1,0,56,3,"0"
4,0,38,0,8,1,0,1,3,0,2,0,8,12,75,23,2,17,2,11,4,3,11,28,7,48,6,88,50,0,1,0,1,0,4,0,0,4,0,1,16,6,0,61,3,"1"
4,0,33,0,11,0,0,1,4,1,6,2,10,12,59,16,1,17,3,16,6,3,8,21,10,45,2,97,57,0,1,1,0,1,9,0,1,3,2,1,26,6,0,31,4,"1"
5,0,36,0,6,5,0,1,3,0,5,2,6,20,110,9,4,30,1,27,7,3,21,35,5,54,3,118,73,1,1,1,2,2,6,0,0,4,3,0,36,5,0,76,3,"0"
2,0,13,0,8,0,0,0,2,1,3,0,13,18,97,7,2,8,2,2,5,5,14,30,8,57,6,81,40,0,2,0,0,0,8,0,1,1,2,0,7,7,0,78,1,"1"
4,0,27,0,12,2,0,0,6,0,8,2,18,12,81,13,4,7,2,22,2,5,16,40,12,60,4,89,47,0,1,0,1,1,11,0,0,2,0,6,23,7,0,85,2,"0"
1,0,22,0,7,0,0,1,3,0,2,0,12,9,81,8,0,18,1,19,1,2,6,20,6,42,1,84,31,0,4,0,0,0,4,0,1,1,0,2,24,1,0,68,1,"0"
13,0,20,0,10,0,0,0,4,1,5,0,16,29,115,7,1,41,5,15,6,4,42,69,10,70,11,104,53,0,8,0,0,0,6,0,0,2,2,7,25,5,0,197,0,"1"
1,0,19,0,8,0,0,2,2,1,5,0,15,15,75,16,1,13,1,14,2,3,9,31,6,52,3,74,46,0,7,1,0,0,10,0,1,2,0,4,12,4,0,76,1,"1"
5,0,19,0,9,1,0,2,3,1,4,2,11,16,96,16,2,19,0,13,3,0,13,40,7,59,4,83,44,0,4,0,0,0,3,0,0,2,0,1,31,5,0,120,1,"0"
2,0,19,0,11,6,0,0,7,0,3,0,18,13,131,14,0,12,3,16,0,3,25,68,11,94,4,92,47,0,2,0,0,0,9,0,0,0,1,1,26,5,0,232,2,"0"
1,0,12,0,7,1,0,3,1,2,2,0,13,19,56,10,2,14,3,9,0,2,9,22,4,34,1,54,17,0,2,0,0,0,5,0,0,0,0,1,15,3,0,41,2,"1"
7,0,28,0,9,3,0,0,1,1,3,1,26,19,115,20,1,20,2,21,3,2,17,45,9,70,5,109,61,0,2,0,0,0,8,0,0,3,0,4,21,6,0,158,2,"0"
3,0,24,0,5,0,0,0,1,0,3,0,9,17,71,21,3,10,0,23,1,4,11,24,5,42,4,90,45,0,0,0,0,0,5,0,0,1,1,0,15,1,0,46,4,"0"
8,0,23,0,17,2,0,3,8,0,5,0,15,10,91,10,0,13,4,12,4,3,29,49,14,72,10,94,42,0,1,3,0,0,12,0,0,3,0,4,26,10,0,126,0,"1"
10,0,15,0,8,1,0,2,2,0,1,0,8,8,87,8,0,14,0,15,0,1,15,34,6,51,5,81,33,0,2,0,0,0,1,0,0,0,0,4,21,6,0,133,0,"0"
