"id","position_cluster"
"102767","Right-Sided Midfielder/Fullback"
"102768","Left-Sided Attacker"
"102771","Central Defender"
"102771","Left-Sided Midfielder/Fullback"
"102830","Central Defender"
"102878","Central Defender"
"102878","Right-Sided Midfielder/Fullback"
"102887","Left-Sided Attacker"
"102887","Left-Sided Midfielder/Fullback"
"102889","Central Midfielder"
"102889","Central Forward"
"102895","Central Forward"
"102900","Central Midfielder"
"102902","Right-Sided Attacker"
"102902","Left-Sided Attacker"
"102905","Right-Sided Midfielder/Fullback"
"102905","Left-Sided Midfielder/Fullback"
"102911","Central Forward"
"102912","Central Midfielder"
"102916","Right-Sided Midfielder/Fullback"
"102916","Central Defender"
"102917","Central Midfielder"
"102917","Right-Sided Midfielder/Fullback"
"103177","Central Midfielder"
"103177","Left-Sided Attacker"
"103235","Left-Sided Midfielder/Fullback"
"103352","Left-Sided Midfielder/Fullback"
"103352","Central Midfielder"
"103353","Central Midfielder"
"103355","Central Midfielder"
"103355","Left-Sided Midfielder/Fullback"
"103467","Central Defender"
"103532","Central Midfielder"
"103541","Right-Sided Attacker"
"103541","Central Midfielder"
"103615","Left-Sided Attacker"
"103679","Central Midfielder"
"103679","Right-Sided Attacker"
"10369","Central Midfielder"
"103765","Right-Sided Attacker"
"103765","Central Midfielder"
"103834","Central Defender"
"103904","Central Midfielder"
"10391","Right-Sided Midfielder/Fullback"
"104150","Left-Sided Midfielder/Fullback"
"104150","Central Midfielder"
"10427","Central Forward"
"104745","Central Defender"
"105472","Right-Sided Midfielder/Fullback"
"105472","Central Defender"
"105861","Left-Sided Midfielder/Fullback"
"10609","Central Defender"
"1061","Central Midfielder"
"107076","Central Midfielder"
"10720","Left-Sided Midfielder/Fullback"
"108641","Central Defender"
"10967","Central Defender"
"109703","Central Defender"
"109705","Central Defender"
"109710","Left-Sided Midfielder/Fullback"
"109728","Right-Sided Midfielder/Fullback"
"109728","Left-Sided Midfielder/Fullback"
"10973","Left-Sided Midfielder/Fullback"
"109730","Central Forward"
"109731","Central Midfielder"
"10977","Central Defender"
"10977","Central Midfielder"
"10983","Central Forward"
"11009","Central Forward"
"110217","Central Midfielder"
"110217","Right-Sided Midfielder/Fullback"
"110233","Left-Sided Attacker"
"110254","Right-Sided Attacker"
"110254","Left-Sided Attacker"
"110276","Right-Sided Midfielder/Fullback"
"11030","Right-Sided Midfielder/Fullback"
"110351","Central Midfielder"
"110526","Central Defender"
"110527","Left-Sided Midfielder/Fullback"
"110542","Central Midfielder"
"11058","Central Forward"
"110659","Central Midfielder"
"110663","Right-Sided Midfielder/Fullback"
"110799","Central Midfielder"
"110910","Left-Sided Midfielder/Fullback"
"111033","Central Forward"
"111148","Central Defender"
"11124","Central Defender"
"11124","Right-Sided Midfielder/Fullback"
"111263","Central Midfielder"
"11141","Central Midfielder"
"11141","Central Forward"
"111434","Left-Sided Midfielder/Fullback"
"111510","Central Defender"
"111522","Central Forward"
"111523","Central Forward"
"111523","Left-Sided Attacker"
"111552","Central Midfielder"
"111584","Central Defender"
"111653","Central Midfielder"
"11172","Central Defender"
"111746","Central Midfielder"
"11187","Central Forward"
"11204","Left-Sided Attacker"
"11204","Right-Sided Attacker"
"112147","Central Defender"
"112245","Right-Sided Attacker"
"112245","Left-Sided Attacker"
"112245","Left-Sided Midfielder/Fullback"
"11225","Central Midfielder"
"11225","Right-Sided Midfielder/Fullback"
"11232","Left-Sided Midfielder/Fullback"
"11232","Central Midfielder"
"112379","Central Forward"
"112379","Central Midfielder"
"11239","Central Forward"
"11239","Right-Sided Attacker"
"11245","Central Midfielder"
"112451","Central Defender"
"11260","Left-Sided Attacker"
"11262","Central Defender"
"112717","Central Defender"
"112771","Central Defender"
"112919","Central Midfielder"
